"property"	"questionTemplate_en"	"questionTemplate_id"	"answerTemplate_en"	"answerTemplate_id"
"hasWebsite"	"Where is %s's website?"	"Di mana alamat website %s?"	"%s's website is at %s."	"Alamat website %s ada di %s."
"happenedIn"	"Where did %s happen?"	"Di mana %s terjadi?"	"%s happened in %s."	"%s terjadi di %s."
"hasLanguageCode"	"What is the language code of %s?"	"Apa kode negara dari %s?"	"The language code of %s is %s."	"Kode negara dari %s adalah %s."
"wasDestroyedOnDate"	"When was %s destroyed?"	"Kapan %s dihancurkan?"	"%s was destroyed on %s."	"%s dihancurkan pada %s."
"hasChild"	"Who are the children of %s?"	"Siapa saja anak %s?"	"Children of %s are %s."	"Anak %s adalah %s."
"hasGivenName"	"What is %s's given name?"	"Apa nama depan %s?"	"%s's given name is %s."	"Nama depan %s adalah %s."
"isCitizenOf"	"What is the citizenship of %s?"	"%s warganegara mana?"	"%s is a citizen of %s."	"%s adalah warganegara %s."
"wroteMusicFor"	"What movies did %s write the music for?"	"%s menciptakan lagu untuk film apa?"	"%s wrote music for %s."	"%s menciptakan lagu untuk %s."
"hasAirportCode"	"What is the airport code of %s?"	"Apa kode bandara %s?"	"Airport code of %s is %s."	"Kode bandara %s adalah %s."
"hasGini"	"What is the gini index of %s?"	"Berapa indeks gini %s?"	"Gini index of %s is %s."	"Indeks gini %s adalah %s."
"hasGDP"	"How much is the GDP of %s?"	"Berapa GDP %s?"	"GDP of %s is %s."	"GDP %s adalah %s."
"created"	"What did %s create?"	"Apa yang dibuat %s?"	"%s created %s."	"%s membuat %s."
"hasCurrency"	"What is the currency of %s?"	"Apa mata uang %s?"	"Currency of %s is %s."	"Mata uang %s adalah %s."
"hasFamilyName"	"What is %s's family name?"	"Apa nama belakang %s?"	"%s's family name is %s."	"Nama belakang %s adalah %s."
"occursSince"	"When did %s start to occur?"	"Kapan %s mulai terjadi?"	"%s occurred since %s."	"%s terjadi sejak %s."
"startsExistingOnDate"	"When did %s start to exist?"	"Kapan %s mulai ada?"	"%s existed since %s."	"%s ada sejak %s."
"hasRevenue"	"How much is the revenue of %s?"	"Berapa pendapatan %s?"	"Revenue of %s is %s."	"Pendapatan %s adalah %s."
"hasEconomicGrowth"	"How much is the economic growth of %s?"	"Berapa pertumbuhan %s?"	"Economic growth of %s is %s."	"Pertumbuhan ekonomi %s adalah %s."
"hasLongitude"	"What is %s's longitude?"	"Berapa bujur %s?"	"%s's longitude is %s."	"Bujur %s adalah %s."
"hasLatitude"	"What is %s's latitude?"	"Berapa lintang %s?"	"%s's latitude is %s."	"Lintang %s adalah %s."
"wasBornOnDate"	"When was %s born?"	"Kapan %s dilahirkan?"	"%s was born on %s."	"%s lahir pada %s."
"hasNumberOfPeople"	"How many people live in %s?"	"Berapa populasi %s?"	"%s's population is %s."	"Populasi %s adalah %s."
"diedIn"	"Where did %s die?"	"Di mana %s meninggal dunia?"	"%s died in %s."	"%s meninggal dunia di %s."
