"property"	"questionPattern_en"	"questionPattern_id"	"answerTemplateHtml_en"	"answerTemplateHtml_id"
"actedIn"	"What movies star (?<subject>.+)[,.?!]*"	"Film (apa|ap)( saja)? (yang|yg|yng) dibintangi (?<subject>.+)[,.?!]*"	"{{subject}} acted in {{object}}."	"{{subject}} membintangi {{object}}."
"created"	"What did (?<subject>.+) create[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) (yang|yg|yng) dibuat (?<subject>.+)[,.?!]*"	"{{subject}} created {{object}}."	"{{subject}} membuat {{object}}."
"diedIn"	"Where did (?<subject>.+) die[,.?!]*"	"(Di mana|Dimana|Dmna|Dmn|Di mn|Dimn) (?<subject>.+) (meninggal dunia|meninggal|mati|wafat|tewas|terbunuh)[,.?!]*"	"{{subject}} died in {{object}}."	"{{subject}} meninggal dunia di {{object}}."
"diedOnDate"	"When did (?<subject>.+) die[,.?!]*"	"(Kapan|Kpn|Tanggal berapa|Tgl brp|Tanggal brp|Tgl berapa|Tgl brpa|Tanggal brpa) (?<subject>.+) (meninggal dunia|meninggal|mati|wafat|tewas|terbunuh)[,.?!]*"	"{{subject}} died on {{object}}."	"{{subject}} meninggal dunia pada {{object}}."
"directed"	"What movies did (?<subject>.+) direct[,.?!]*"	"(?<subject>.+) menyutradarai film apa[,.?!]*"	"{{subject}} directed {{object}}."	"{{subject}} menyutradarai {{object}}."
"graduatedFrom"	"Where did (?<subject>.+) graduate from[,.?!]*"	"(?<subject>.+) lulusan (mana|apa|mn|ap)[,.?!]*"	"{{subject}} graduated from {{object}}."	"{{subject}} lulusan {{object}}."
"happenedIn"	"Where did (?<subject>.+) happen[,.?!]*"	"(Di mana|Dimana|Dmna|Dmn|Di mn|Dimn) (?<subject>.+) terjadi[,.?!]*"	"{{subject}} happened in {{object}}."	"{{subject}} terjadi di {{object}}."
"hasAirportCode"	"What is the airport code of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) kode bandara (?<subject>.+)[,.?!]*"	"Airport code of {{subject}} is '{{object}}'."	"Kode bandara {{subject}} adalah '{{object}}'."
"hasCapital"	"What is the capital city of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) (ibu kota|ibukota) (?<subject>.+)[,.?!]*"	"Capital city of {{subject}} is {{object}}."	"Ibu kota {{subject}} adalah {{object}}."
"hasChild"	"Who are the children of (?<subject>.+)[,.?!]*"	"(Siapa|Sapa|Sp|Syp|Spa|Sypa)( saja| sj)? anak (?<subject>.+)[,.?!]*"	"Children of {{subject}} are {{object}}."	"Anak {{subject}} adalah {{object}}."
"hasCurrency"	"What is the currency of (?<subject>.+)[,.?!]*"	"(Apa|Ap|Apakah|Apa kah)( mata)? uang (?<subject>.+)[,.?!]*"	"Currency of {{subject}} is {{object}}."	"Mata uang {{subject}} adalah {{object}}."
"hasEconomicGrowth"	"How much is the economic growth of (?<subject>.+)[,.?!]*"	"(Berapa|Brpa|Brp) pertumbuhan ekonomi (?<subject>.+)[,.?!]*"	"Economic growth of {{subject}} is {{object}}."	"Pertumbuhan ekonomi {{subject}} adalah {{object}}."
"hasFamilyName"	"What is (?<subject>.+)\'s family name[,.?!]*"	"(Apa|Ap|Apakah|Apa kah) nama belakang (?<subject>.+)[,.?!]*"	"{{subject}}'s family name is {{object}}."	"Nama belakang {{subject}} adalah {{object}}."
